Year,Section,Topic,Count,Easy,Medium,Hard
2018,general_awareness,Inferred General Awareness,1,0,1,0
2018,general_awareness,analogy,6,6,0,0
2018,general_awareness,art_culture,2,2,0,0
2018,general_awareness,averages,2,0,2,0
2018,general_awareness,coding_decoding,1,1,0,0
2018,general_awareness,current_affairs,1,0,1,0
2018,general_awareness,direction_sense,1,0,1,0
2018,general_awareness,environment,1,0,1,0
2018,general_awareness,geography_india,1,1,0,0
2018,general_awareness,geography_world,2,2,0,0
2018,general_awareness,organizations,2,1,1,0
2018,general_awareness,ratio_proportion,1,0,1,0
2018,general_awareness,reading_comprehension,1,1,0,0
2018,general_awareness,speed_time_distance,1,0,0,1
2018,general_awareness,sports,1,1,0,0
2018,general_awareness,technology,1,1,0,0
2018,numerical_ability,Inferred Numerical Ability,4,2,2,0
2018,numerical_ability,embedded_figures,5,5,0,0
2018,numerical_ability,profit_loss,1,0,1,0
2018,reasoning,Inferred Reasoning,30,17,13,0
2018,reasoning,analogy,1,0,1,0
2018,reasoning,averages,2,1,1,0
2018,reasoning,calendar,1,0,1,0
2018,reasoning,paper_folding,1,1,0,0
2018,reasoning,pattern_completion,1,1,0,0
2018,reasoning,profit_loss,2,0,1,1
2018,reasoning,ratio_proportion,3,0,2,1
2018,reasoning,science_physics,1,1,0,0
2018,reasoning,simple_compound_interest,1,0,0,1
2018,reasoning,simplification,1,0,1,0
2018,reasoning,time_and_work,1,0,1,0
2018,reasoning,venn_diagrams,4,4,0,0
2018,verbal_ability,Inferred Verbal Ability,1,0,1,0
2018,verbal_ability,analogy,1,1,0,0
2018,verbal_ability,analogy_verbal,2,2,0,0
2018,verbal_ability,art_culture,1,1,0,0
2018,verbal_ability,averages,1,1,0,0
2018,verbal_ability,geography_world,1,1,0,0
2018,verbal_ability,history_modern,1,1,0,0
2018,verbal_ability,inferred_verbal_ability,7,3,4,0
2018,verbal_ability,polity,1,1,0,0
