Year,Section,Topic,Count,Easy,Medium,Hard
2012,general_awareness,Inferred General Awareness,2,0,0,2
2012,general_awareness,analogy,6,4,1,1
2012,general_awareness,averages,1,0,1,0
2012,general_awareness,coding_decoding,1,0,1,0
2012,general_awareness,geography_india,1,1,0,0
2012,general_awareness,important_days,1,1,0,0
2012,general_awareness,inferred_general_awareness,3,0,3,0
2012,general_awareness,mixtures_alligation,1,0,0,1
2012,general_awareness,organizations,1,1,0,0
2012,general_awareness,percentages,2,0,1,1
2012,general_awareness,ratio_proportion,1,0,1,0
2012,general_awareness,science_biology,2,1,1,0
2012,general_awareness,science_chemistry,1,1,0,0
2012,general_awareness,simplification,1,0,1,0
2012,numerical_ability,Inferred Numerical Ability,9,9,0,0
2012,numerical_ability,inferred_numerical_ability,1,1,0,0
2012,numerical_ability,ratio_proportion,1,0,1,0
2012,numerical_ability,simple_compound_interest,2,0,2,0
2012,reasoning,Inferred Reasoning,16,5,10,1
2012,reasoning,analogy,2,2,0,0
2012,reasoning,art_culture,2,2,0,0
2012,reasoning,averages,1,0,1,0
2012,reasoning,calendar,1,1,0,0
2012,reasoning,embedded_figures,1,0,1,0
2012,reasoning,inferred_reasoning,8,8,0,0
2012,reasoning,mixtures_alligation,1,0,1,0
2012,reasoning,ratio_proportion,1,0,1,0
2012,reasoning,science_biology,1,1,0,0
2012,verbal_ability,analogy,5,5,0,0
2012,verbal_ability,analogy_verbal,3,3,0,0
2012,verbal_ability,classification,1,1,0,0
2012,verbal_ability,geography_world,1,1,0,0
2012,verbal_ability,inferred_verbal_ability,7,6,1,0
2012,verbal_ability,mixtures_alligation,1,0,1,0
2012,verbal_ability,organizations,1,1,0,0
2012,verbal_ability,personalities,1,1,0,0
2012,verbal_ability,reading_comprehension,1,0,1,0
2012,verbal_ability,time_and_work,1,0,1,0
