Year,Section,Topic,Count,Easy,Medium,Hard
2013,general_awareness,Inferred General Awareness,2,0,2,0
2013,general_awareness,analogy,1,1,0,0
2013,general_awareness,analogy_verbal,1,0,1,0
2013,general_awareness,averages,3,0,2,1
2013,general_awareness,books_authors,1,1,0,0
2013,general_awareness,geography_india,1,1,0,0
2013,general_awareness,inferred_general_awareness,3,1,1,1
2013,general_awareness,mixtures_alligation,1,0,1,0
2013,general_awareness,organizations,2,2,0,0
2013,general_awareness,percentages,3,0,1,2
2013,general_awareness,science_biology,1,1,0,0
2013,general_awareness,science_chemistry,1,1,0,0
2013,general_awareness,simplification,1,0,1,0
2013,general_awareness,technology,1,1,0,0
2013,general_awareness,time_and_work,1,0,1,0
2013,numerical_ability,Inferred Numerical Ability,5,3,2,0
2013,numerical_ability,embedded_figures,1,0,0,1
2013,numerical_ability,inferred_numerical_ability,1,0,1,0
2013,numerical_ability,percentages,1,0,1,0
2013,numerical_ability,simple_compound_interest,2,0,2,0
2013,reasoning,Inferred Reasoning,19,11,7,1
2013,reasoning,averages,1,0,1,0
2013,reasoning,coding_decoding,1,0,0,1
2013,reasoning,economy,1,1,0,0
2013,reasoning,inferred_reasoning,9,8,1,0
2013,reasoning,mixtures_alligation,1,0,1,0
2013,reasoning,organizations,1,0,1,0
2013,verbal_ability,Inferred Verbal Ability,2,0,1,1
2013,verbal_ability,analogy,4,3,1,0
2013,verbal_ability,analogy_verbal,2,2,0,0
2013,verbal_ability,awards,1,1,0,0
2013,verbal_ability,direct_indirect,1,0,1,0
2013,verbal_ability,inferred_verbal_ability,5,4,1,0
2013,verbal_ability,organizations,2,2,0,0
2013,verbal_ability,ratio_proportion,1,0,1,0
2013,verbal_ability,reading_comprehension,2,1,1,0
2013,verbal_ability,simplification,1,1,0,0
2013,verbal_ability,sports,1,1,0,0
2013,verbal_ability,vocabulary,1,1,0,0
