Year,Section,Topic,Count,Easy,Medium,Hard
2022,general_awareness,economy,1,0,1,0
2022,general_awareness,geography_world,2,1,1,0
2022,general_awareness,personalities,1,1,0,0
2022,general_awareness,science_biology,1,1,0,0
2022,general_awareness,sports,1,1,0,0
2022,general_awareness,technology,1,1,0,0
2022,numerical_ability,algebra,1,0,1,0
2022,numerical_ability,simple_compound_interest,1,0,1,0
2022,numerical_ability,time_and_work,1,1,0,0
2022,reasoning,analogy,4,4,0,0
2022,reasoning,calendar,1,0,1,0
2022,reasoning,coding_decoding,2,1,1,0
2022,unknown,unknown,6,4,2,0
2022,verbal_ability,reading_comprehension,1,0,1,0
2022,verbal_ability,vocabulary,1,1,0,0
