Year,Section,Topic,Count,Easy,Medium,Hard
2019,general_awareness,Inferred General Awareness,1,0,0,1
2019,general_awareness,analogy,6,4,2,0
2019,general_awareness,art_culture,1,1,0,0
2019,general_awareness,books_authors,1,1,0,0
2019,general_awareness,geography_india,3,3,0,0
2019,general_awareness,geography_world,1,1,0,0
2019,general_awareness,inferred_general_awareness,2,1,1,0
2019,general_awareness,organizations,4,2,2,0
2019,general_awareness,simple_compound_interest,2,0,1,1
2019,general_awareness,speed_time_distance,3,0,0,3
2019,general_awareness,sports,1,1,0,0
2019,numerical_ability,classification,3,3,0,0
2019,numerical_ability,permutation_combination,1,0,1,0
2019,numerical_ability,vocabulary,1,1,0,0
2019,reasoning,Inferred Reasoning,30,23,5,2
2019,reasoning,analogy,5,5,0,0
2019,reasoning,averages,2,0,1,1
2019,reasoning,calendar,1,0,1,0
2019,reasoning,coding_decoding,9,4,4,1
2019,reasoning,inferred_reasoning,2,2,0,0
2019,reasoning,mixtures_alligation,1,0,1,0
2019,reasoning,number_system,1,1,0,0
2019,reasoning,profit_loss,1,0,0,1
2019,reasoning,ratio_proportion,1,0,1,0
2019,reasoning,speed_time_distance,1,0,0,1
2019,reasoning,time_and_work,1,0,1,0
2019,reasoning,vocabulary,2,2,0,0
2019,verbal_ability,Inferred Verbal Ability,1,0,1,0
2019,verbal_ability,analogy,1,1,0,0
2019,verbal_ability,blood_relations,1,1,0,0
2019,verbal_ability,current_affairs,1,1,0,0
2019,verbal_ability,geometry,1,1,0,0
2019,verbal_ability,inferred_verbal_ability,6,6,0,0
2019,verbal_ability,polity,1,1,0,0
2019,verbal_ability,syllogism,1,0,1,0
