Year,Section,Topic,Count,Easy,Medium,Hard
2021,general_awareness,Inferred General Awareness,3,0,2,1
2021,general_awareness,analogy,8,8,0,0
2021,general_awareness,art_culture,1,1,0,0
2021,general_awareness,geography_india,2,2,0,0
2021,general_awareness,geography_world,5,5,0,0
2021,general_awareness,inferred_general_awareness,2,2,0,0
2021,general_awareness,sports,2,2,0,0
2021,general_awareness,technology,1,1,0,0
2021,numerical_ability,Inferred Numerical Ability,4,0,3,1
2021,numerical_ability,coding_decoding,2,0,2,0
2021,numerical_ability,embedded_figures,2,2,0,0
2021,numerical_ability,inferred_numerical_ability,3,3,0,0
2021,numerical_ability,mirror_water_images,1,1,0,0
2021,numerical_ability,profit_loss,1,0,0,1
2021,numerical_ability,simple_compound_interest,1,0,1,0
2021,numerical_ability,trains_boats,1,0,1,0
2021,numerical_ability,venn_diagrams,2,2,0,0
2021,reasoning,Inferred Reasoning,24,14,5,5
2021,reasoning,algebra,1,0,0,1
2021,reasoning,coding_decoding,2,1,1,0
2021,reasoning,mirror_water_images,2,2,0,0
2021,reasoning,percentages,1,0,1,0
2021,reasoning,profit_loss,2,0,2,0
2021,reasoning,simple_compound_interest,1,0,1,0
2021,reasoning,time_and_work,2,0,2,0
2021,reasoning,venn_diagrams,2,2,0,0
2021,verbal_ability,Inferred Verbal Ability,6,0,5,1
2021,verbal_ability,algebra,1,0,1,0
2021,verbal_ability,analogy_verbal,1,1,0,0
2021,verbal_ability,art_culture,1,1,0,0
2021,verbal_ability,geography_world,2,2,0,0
2021,verbal_ability,inferred_verbal_ability,5,4,1,0
2021,verbal_ability,mensuration,1,0,1,0
2021,verbal_ability,sentence_completion,4,4,0,0
2021,verbal_ability,technology,1,0,1,0
