Year,Section,Topic,Count,Easy,Medium,Hard
2020,general_awareness,Inferred General Awareness,4,0,3,1
2020,general_awareness,analogy,10,8,2,0
2020,general_awareness,art_culture,1,1,0,0
2020,general_awareness,defense,1,1,0,0
2020,general_awareness,direction_sense,1,1,0,0
2020,general_awareness,geography_india,2,2,0,0
2020,general_awareness,geography_world,1,1,0,0
2020,general_awareness,history_medieval,1,1,0,0
2020,general_awareness,inferred_general_awareness,1,1,0,0
2020,general_awareness,organizations,1,1,0,0
2020,general_awareness,polity,1,1,0,0
2020,general_awareness,reading_comprehension,1,1,0,0
2020,numerical_ability,Inferred Numerical Ability,3,0,3,0
2020,numerical_ability,art_culture,1,1,0,0
2020,numerical_ability,averages,1,0,1,0
2020,numerical_ability,embedded_figures,4,4,0,0
2020,numerical_ability,inferred_numerical_ability,6,5,1,0
2020,numerical_ability,science_biology,1,1,0,0
2020,numerical_ability,series_completion,2,2,0,0
2020,numerical_ability,time_and_work,1,1,0,0
2020,reasoning,Inferred Reasoning,6,2,2,2
2020,reasoning,algebra,1,0,0,1
2020,reasoning,averages,1,0,1,0
2020,reasoning,clocks,1,0,0,1
2020,reasoning,coding_decoding,1,0,1,0
2020,reasoning,embedded_figures,1,1,0,0
2020,reasoning,inferred_reasoning,3,2,1,0
2020,reasoning,mirror_water_images,1,1,0,0
2020,reasoning,odd_one_out,1,1,0,0
2020,reasoning,organizations,1,1,0,0
2020,reasoning,percentages,1,0,0,1
2020,reasoning,profit_loss,1,0,1,0
2020,reasoning,science_physics,2,2,0,0
2020,reasoning,simple_compound_interest,2,0,1,1
2020,reasoning,speed_time_distance,4,0,0,4
2020,reasoning,time_and_work,2,1,1,0
2020,verbal_ability,Inferred Verbal Ability,2,0,1,1
2020,verbal_ability,analogy,2,2,0,0
2020,verbal_ability,analogy_verbal,1,1,0,0
2020,verbal_ability,antonyms,3,3,0,0
2020,verbal_ability,art_culture,1,1,0,0
2020,verbal_ability,books_authors,1,1,0,0
2020,verbal_ability,clocks,1,1,0,0
2020,verbal_ability,geography_world,1,1,0,0
2020,verbal_ability,inferred_verbal_ability,4,4,0,0
2020,verbal_ability,ratio_proportion,1,1,0,0
2020,verbal_ability,science_physics,1,1,0,0
2020,verbal_ability,spelling,2,2,0,0
2020,verbal_ability,sports,2,2,0,0
2020,verbal_ability,synonyms,4,4,0,0
2020,verbal_ability,technology,1,1,0,0
